Sample__ID,Landcover,Hill__side,Date,Time,Scientific__name,Common_name_species,DBH (cm),Average_DBH_plot,STD_DBH_Plot,Average_DBH_Landcovertype,STD_DBH_Landcover,Basal area cm2,Cumulative_Basal_Area_perPlot,Cumulative_Basal_Area_Hectar,Average_BasalArea_Per_Ha,STD_BasalArea,Height (m),Average_Height_Plot,Average_Height_Landcovertype,STD_Height,Native,AGB Chave 2014 Eq. 4 (kg),AGB Chave Eq. 2005,AGB_Total_individual,Carbon_Stock_individual (kg),Cumulative_AGB_Plot,Cumulative_AGB_Per_Ha,Average_Biomass,STD_AGB,Average_AGC,STD_AGC,Weather,Latitudine_field_data,Longitudine_field_data,SOC,Total__N,Available__P,Air__T,Air__humidity,Soil_T,Soil_h,Soil_pH,Grass__cover,Shrubs__cover,Tree__cover,Average_densiometer_per_landcovertype,Barangay,Elevation,Mean_elevation,pH_kit
E2NB,2 years old,N,10/09/2024,9:43,Acacia mangium,Mangium,5.4,NA,NA,,,22.90518,,,,,5.6,,,,E,5.233261621,6.975711977,5.233261621,2.459632962,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.7,56.7,29.33333333,31,6.033333333,90-100,0-20,0-20,10.27,HIDED,176,,6
E3SB,2 years old,S,6/09/2024,9:18,NA,NA,0,0,0,,,0,0,0,,,0,0,,,,NA,NA,0,NA,0,0,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,32.5,75.1,30.33,60.33,6.26,90-100,0-20,0-20,10.27,HIDED,245,,5
E4NB,2 years old,N,6/09/2024,10:40,Cocos nucifera,Coconut,8.4,6.35,1.105893304,,,55.42488,194.843275,4871.081875,,,22.8,9.5,,,N,46.10492985,21.03111104,46.10492985,21.66931703,84.92661733,2123.165433,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.4,56.7,29,84.66666667,5.066666667,90-100,0-20,0-20,10.27,HIDED,247,,5
E4NB,2 years old,N,6/09/2024,10:40,Acacia mangium,Mangium,6.7,NA,NA,,,35.261095,,,,,7.5,,,,E,10.60391215,12.27294705,10.60391215,4.983838711,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.4,56.7,29,84.66666667,5.066666667,90-100,0-20,0-20,10.27,HIDED,247,,5
E4NB,2 years old,N,6/09/2024,10:40,Acacia auriculiformis,Aure,6.1,NA,NA,,,29.228455,,,,,6.1,,,,E,7.150498193,9.502592996,7.150498193,3.360734151,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.4,56.7,29,84.66666667,5.066666667,90-100,0-20,0-20,10.27,HIDED,247,,5
E4NB,2 years old,N,6/09/2024,10:40,Acacia mangium,Mangium,5.9,NA,NA,,,27.343255,,,,,7,,,,E,7.734408869,8.791023065,7.734408869,3.635172168,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.4,56.7,29,84.66666667,5.066666667,90-100,0-20,0-20,10.27,HIDED,247,,5
E4NB,2 years old,N,6/09/2024,10:40,Acacia mangium,Mangium,5.7,NA,NA,,,25.520895,,,,,8.4,,,,E,8.639181823,8.032868148,8.639181823,4.060415457,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.4,56.7,29,84.66666667,5.066666667,90-100,0-20,0-20,10.27,HIDED,247,,5
E4NB,2 years old,N,6/09/2024,10:40,Acacia mangium,Mangium,5.3,NA,NA,,,22.064695,,,,,5.2,,,,E,4.693686445,6.644155488,4.693686445,2.206032629,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,36.4,56.7,29,84.66666667,5.066666667,90-100,0-20,0-20,10.27,HIDED,247,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,22.8,24.02777778,9.382888402,20.57508814,10.3,408.33432,9338.550285,233463.7571,238743.0535,36492.37816,12.4,15.93333333,21.10238095,3.8,E,189.1370883,313.3033716,189.1370883,88.8944315,7253.546953,181338.6738,188098.434,33645.33012,88406.3,15813.3,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,296.1354167,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,16.2,NA,NA,,,206.14662,,,,,NA,,,,E,NA,127.3424008,127.3424008,59.85092838,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,23.7,NA,NA,,,441.207495,,,,,16.1,,,,E,263.1959119,346.6973004,263.1959119,123.7020786,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Cocos nucifera,Coconut,25,NA,NA,,,490.9375,,,,,NA,,,,N,NA,375.999276,375.999276,176.7196597,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,30.7,NA,NA,,,740.325895,,,,,NA,,,,E,NA,678.8337142,678.8337142,319.0518457,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,27.6,NA,NA,,,598.36248,,,,,NA,,,,E,NA,515.5076282,515.5076282,242.2885853,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Mallotus mollissimus ,Hanom-o,7.4,NA,NA,,,43.01398,,,,,NA,,,,N,NA,10.53057978,10.53057978,4.949372497,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,17,NA,NA,,,227.0095,,,,,14.9,,,,E,127.5775934,144.6633816,127.5775934,59.9614689,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Trema orientalis,Anabiong,5,NA,NA,,,19.6375,,,,,NA,,,,N,NA,3.339874899,3.339874899,1.569741203,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,28.7,NA,NA,,,647.008495,,,,,NA,,,,E,NA,570.4361043,570.4361043,268.104969,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,43.3,NA,NA,,,1472.726095,,,,,18.4,,,,E,972.2879019,1629.19549,972.2879019,456.9753139,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,23.9,NA,NA,,,448.685455,,,,,NA,,,,E,NA,354.3951974,354.3951974,166.5657428,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,36.5,NA,NA,,,1046.482375,,,,,NA,,,,E,NA,1057.607743,1057.607743,497.0756392,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,21.6,NA,NA,,,366.48288,,,,,NA,,,,E,NA,271.9032494,271.9032494,127.7945272,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,19,NA,NA,,,283.5655,,,,,15.7,,,,E,166.8143482,194.0444271,166.8143482,78.40274365,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,22.7,NA,NA,,,404.760295,,,,,NA,,,,E,NA,309.7178743,309.7178743,145.5674009,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,33.6,NA,NA,,,886.79808,,,,,NA,,,,E,NA,856.0383007,856.0383007,402.3380013,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I1SB,10 years old,S,30/08/2024,9:38,Acacia mangium,Mangium,27.8,NA,NA,,,607.06582,,,,,18.1,,,,E,402.8821663,525.2502446,402.8821663,189.3546182,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,31.3,72.4,28.33333333,65,6.133333333,20-40,20-40,0-20,91.16,HIDED,279,,5
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,29.3,18.67916667,10.74765815,,,674.343895,8664.575575,216614.3894,,,23.7,21.44285714,,,E,580.7487632,601.7914557,580.7487632,272.9519187,6726.599787,168164.9947,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,16.2,NA,NA,,,206.14662,,,,,16.1,,,,E,125.240178,127.3424008,125.240178,58.86288366,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,33.3,NA,NA,,,871.033095,,,,,23.4,,,,E,736.332778,836.588636,736.332778,346.0764057,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,24.6,NA,NA,,,475.35318,,,,,22.1,,,,E,385.6030862,382.1401718,385.6030862,181.2334505,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,37.5,NA,NA,,,1104.609375,,,,,21.5,,,,E,854.8251368,1132.881266,854.8251368,401.7678143,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Homalanthus populneus,Balanti,6.4,NA,NA,,,32.17408,,,,,NA,,,,N,NA,7.801308432,7.801308432,3.666614963,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Ficus nota ,Tibig,5.5,NA,NA,,,23.761375,,,,,NA,,,,N,NA,5.384645293,5.384645293,2.530783288,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,32.6,NA,NA,,,834.79798,,,,,19.2,,,,E,582.3861892,792.2161533,582.3861892,273.7215089,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,20.9,NA,NA,,,343.114255,,,,,NA,,,,E,NA,249.3704154,249.3704154,117.2040952,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Macaranga tanarius (Linn.),Minonga,6.3,NA,NA,,,31.176495,,,,,NA,,,,N,NA,8.470271103,8.470271103,3.981027418,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,10.3,NA,NA,,,83.333695,,,,,NA,,,,E,NA,38.2823774,38.2823774,17.99271738,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,28.1,NA,NA,,,620.238655,,,,,NA,,,,E,NA,540.0672479,540.0672479,253.8316065,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Ficus nota ,Tibig,10.9,NA,NA,,,93.325255,,,,,NA,,,,N,NA,32.74044945,32.74044945,15.38801124,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,22,NA,NA,,,380.182,,,,,NA,,,,E,NA,285.3110753,285.3110753,134.0962054,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Macaranga tanarius (Linn.),Minonga,8.1,NA,NA,,,51.536655,,,,,NA,,,,N,NA,16.42727543,16.42727543,7.720819452,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Radermachera pinnata,Banai-banai,11.2,NA,NA,,,98.53312,,,,,NA,,,,N,NA,41.50464658,41.50464658,19.50718389,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Macaranga tanarius (Linn.),Minonga,6.8,NA,NA,,,36.32152,,,,,NA,,,,N,NA,10.35310487,10.35310487,4.865959289,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,29.4,NA,NA,,,678.95478,,,,,NA,,,,E,NA,607.1138089,607.1138089,285.3434902,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,25.4,NA,NA,,,506.77318,,,,,NA,,,,E,NA,415.3926835,415.3926835,195.2345612,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,31.9,NA,NA,,,799.332655,,,,,24.1,,,,E,696.877367,749.2496445,696.877367,327.5323625,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Artocarpus blancoi,Antipolo,5.4,NA,NA,,,22.90518,,,,,NA,,,,N,NA,5.659539906,5.659539906,2.659983756,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Ficus nota ,Tibig,5.1,NA,NA,,,20.430855,,,,,NA,,,,N,NA,4.42354801,4.42354801,2.079067565,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,23.4,NA,NA,,,430.10838,,,,,NA,,,,E,NA,335.3400636,335.3400636,157.6098299,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I2NB,10 years old,N,4/09/2024,8:42,Acacia mangium,Mangium,17.7,NA,NA,,,246.089295,,,,,NA,,,,E,NA,160.9438274,160.9438274,75.64359888,,,,,0,0,Sunny,HIDED,HIDED,NA,NA,NA,28.5,75.9,26,65.66666667,5.566666667,0-20,20-40,0-20,91.16,HIDED,297,,6
I3SB,10 years old,S,4/09/2024,10:27,Macaranga tanarius (Linn.),Minonga,14.2,16.30645161,9.321978884,,,158.38822,8522.588595,213064.7149,,,NA,24.06666667,,,N,NA,72.86133111,72.86133111,34.24482562,6616.489475,165412.2369,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,25.1,NA,NA,,,494.872855,,,,,NA,,,,E,NA,402.7286344,402.7286344,189.2824582,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,19.7,NA,NA,,,304.844695,,,,,NA,,,,E,NA,213.4508311,213.4508311,100.3218906,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Hibiscus tiliaceus,Malabago,13.3,NA,NA,,,138.947095,,,,,NA,,,,N,NA,81.17708068,81.17708068,38.15322792,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Macaranga tanarius (Linn.),Minonga,11.7,NA,NA,,,107.527095,,,,,NA,,,,N,NA,43.57031512,43.57031512,20.47804811,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Macaranga tanarius (Linn.),Minonga,14.3,NA,NA,,,160.626895,,,,,NA,,,,N,NA,74.23047817,74.23047817,34.88832474,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,18.3,NA,NA,,,263.056095,,,,,21.6,,,,E,211.6604432,175.7522489,211.6604432,99.4804083,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,27.5,NA,NA,,,594.034375,,,,,26.3,,,,E,568.01858,510.6768196,568.01858,266.9687326,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,35,NA,NA,,,962.2375,,,,,26.1,,,,E,902.7557654,950.2642918,902.7557654,424.2952097,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,35.5,NA,NA,,,989.926375,,,,,24.6,,,,E,876.0052776,985.3072378,876.0052776,411.7224805,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Macaranga tanarius (Linn.),Minonga,5.6,NA,NA,,,24.63328,,,,,NA,,,,N,NA,6.22277865,6.22277865,2.924705966,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Cocos nucifera,Coconut,30.4,NA,NA,,,725.92768,,,,,21.7,,,,N,540.9582194,624.4001494,540.9582194,254.2503631,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,25.5,NA,NA,,,510.771375,,,,,NA,,,,E,NA,419.6661282,419.6661282,197.2430803,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,20.2,NA,NA,,,320.51542,,,,,NA,,,,E,NA,228.0062127,228.0062127,107.16292,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
I3SB,10 years old,S,4/09/2024,10:27,Acacia mangium,Mangium,35.4,NA,NA,,,984.35718,,,,,NA,,,,E,NA,978.2397756,978.2397756,459.7726945,,,,,0,0,Sunny/Cloudy/occasional wind,HIDED,HIDED,NA,NA,NA,30.8,77.1,28,68.33333333,5.666666667,0-20,20-40,0-20,91.16,HIDED,307,,5.5
